STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,WDFG,PGTM,WSFG,WT09,WT07,WT01,WT06,WT05,WT04,WT16,WT08,WT18,WT03
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310427,-9999,-9999,-9999,178,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310428,-9999,-9999,-9999,128,72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310429,51,-9999,-9999,89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310430,10,-9999,-9999,100,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310501,-9999,-9999,-9999,139,61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310502,-9999,-9999,-9999,178,28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310503,-9999,-9999,-9999,222,78,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310504,-9999,-9999,-9999,200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310505,-9999,-9999,-9999,189,100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310506,-9999,-9999,-9999,222,100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310507,-9999,-9999,-9999,250,139,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310508,-9999,-9999,-9999,128,100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310509,13,-9999,-9999,122,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310510,-9999,-9999,-9999,128,78,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310511,-9999,-9999,-9999,178,78,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310512,-9999,-9999,-9999,239,100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310513,-9999,-9999,-9999,222,111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
